Searchword,Searchword_ID,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source,key
Euroclear,0,Google API,https://www.streetinsider.com/Globe+Newswire/NOTICE+OF+AFARAK+GROUP+PLCS+ANNUAL+GENERAL+MEETING/18525416.html,NOTICE OF AFARAK GROUP PLC'S ANNUAL GENERAL ...,"Proxy documents should be delivered to Euroclear Finland Oy by mail Euroclear Finland Oy, Annual General Meeting / Afarak Group Plc, P.O. Box 1110, FI-00101 ...","Proxy documents should be delivered to Euroclear Finland Oy by mail Euroclear Finland Oy, Annual General Meeting / Afarak Group Plc, P.O. Box 1110, FI-00101 ...",neutral,0.03,0.89,0.08,neutral,0.0,0.98,0.02,True,English,"['AFARAK GROUP PLC', 'Euroclear Finland Oy', 'Euroclear Finland Oy', 'Afarak Group Plc']","['AFARAK GROUP PLC', 'ANNUAL GENERAL', 'Euroclear Finland Oy', 'Annual General Meeting', 'Afarak Group Plc', 'P.O. Box', 'Proxy documents', 'mail']",2021-06-07,streetinsider.com,Euroclear
Euroclear,0,Google API,https://www.wfmz.com/news/pr_newswire/pr_newswire_health/extraordinary-general-meeting-of-ab-volvo/article_ee3f4558-faa0-58b5-aef2-78a747dd0199.html,Extraordinary General Meeting of AB Volvo | News | wfmz.com,The advance voting form is considered as the notification of participation. The completed voting form must be received by Euroclear Sweden AB no later than ...,The advance voting form is considered as the notification of participation. The completed voting form must be received by Euroclear Sweden AB no later than ...,neutral,0.41,0.59,0.0,neutral,0.02,0.8,0.18,True,English,"['AB Volvo', 'wfmz.com', 'Euroclear Sweden AB']","['Extraordinary General Meeting', 'AB Volvo', 'News', 'Euroclear Sweden AB', 'advance voting form', 'notification', 'participation']",2021-06-04,wfmz.com,Euroclear
Euroclear,0,Google API,https://www.streetinsider.com/Globe+Newswire/ROYAL+DUTCH+SHELL+PLC+FIRST+QUARTER+2021+EURO+AND+GBP+EQUIVALENT+DIVIDEND+PAYMENTS/18525270.html,ROYAL DUTCH SHELL PLC FIRST QUARTER 2021 EURO ...,... to shareholders holding shares in a securities account with a bank or financial institution ultimately holding through Euroclear Nederland. This may also apply ...,... to shareholders holding shares in a securities account with a bank or financial institution ultimately holding through Euroclear Nederland. This may also apply ...,neutral,0.0,1.0,0.0,neutral,0.0,0.99,0.01,True,English,"['ROYAL DUTCH SHELL PLC', 'Euroclear Nederland']","['ROYAL DUTCH SHELL PLC FIRST QUARTER', 'EURO', 'securities account', 'financial institution', 'Euroclear Nederland', 'shareholders', 'shares', 'bank']",2021-06-07,streetinsider.com,Euroclear
Euroclear,0,Google API,https://www.marketscreener.com/quote/stock/ATRIUM-EUROPEAN-REAL-ESTA-6494128/news/Atrium-European-Real-Estate-nbsp-SCRIP-DIVIDEND-CIRCULAR-Q2-2021-35553353/,Atrium European Real Estate : SCRIP DIVIDEND CIRCULAR Q2 2021,For Euroclear Participants: If you are a Euroclear Participant you must make your election known through your account holding bank or broker (an Instruction) so ...,For Euroclear Participants: If you are a Euroclear Participant you must make your election known through your account holding bank or broker (an Instruction) so ...,neutral,0.0,1.0,0.0,neutral,0.03,0.94,0.03,True,English,"['Atrium European Real Estate', 'Euroclear', 'Euroclear']","['Atrium European Real Estate', 'SCRIP DIVIDEND CIRCULAR Q2', 'Euroclear Participants', 'account holding', 'election', 'bank', 'broker', 'Instruction']",2021-06-09,marketscreener.com,Euroclear
Euroclear,0,Google API,https://www.moneyweb.co.za/mny_sens/hammerson-plc-hammerson-plc-announces-exercise-of-early-redemption-option/,HAMMERSON PLC – Hammerson plc announces exercise of ...,"Euroclear and Clearstream, Luxembourg. The Redemption Price will be calculated on the Relevant Record Date, being 5 July 2021, in accordance with Condition ...","Euroclear and Clearstream, Luxembourg. The Redemption Price will be calculated on the Relevant Record Date, being 5 July 2021, in accordance with Condition ...",neutral,0.0,0.99,0.01,neutral,0.03,0.95,0.02,True,English,"['HAMMERSON PLC', 'Hammerson plc', 'Euroclear', 'Clearstream']","['HAMMERSON PLC', 'exercise', 'The Redemption Price', 'Relevant Record Date', 'Euroclear', 'Clearstream', 'Luxembourg', 'accordance', 'Condition', '5']",2021-06-04,moneyweb.co.za,Euroclear
Euroclear,0,Google API,https://uk.sports.yahoo.com/news/conditions-purchases-corporate-bonds-142000872.html,CONDITIONS FOR PURCHASES OF CORPORATE BONDS,To the Riksbank's account in Euroclear Sweden AB's securities settlement system: 1 4948 6383. Securities issued in AM part: To the Riksbank's account in State ...,To the Riksbank's account in Euroclear Sweden AB's securities settlement system: 1 4948 6383. Securities issued in AM part: To the Riksbank's account in State ...,neutral,0.03,0.95,0.02,neutral,0.02,0.96,0.02,True,English,"['Riksbank', 'Euroclear Sweden AB', 'Riksbank']","['CORPORATE BONDS', 'CONDITIONS', 'PURCHASES', 'Euroclear Sweden AB', 'securities settlement system', 'Riksbank', 'account', 'AM', 'part', 'State']",2021-06-05,uk.sports.yahoo.com,Euroclear
Euroclear,0,Google API,https://www.investmentweek.co.uk/analysis/4032356/stuck-in-the-stone-age-investment-platforms-branded-prehistoric-amid-gamestop-agm-row,Stuck in the Stone Age? Investment platforms branded ...,"A spokesperson from Euroclear echoed this: ""We appreciate that investors have an increasing desire to vote on corporate events in a broader range of markets. "" ...","A spokesperson from Euroclear echoed this: ""We appreciate that investors have an increasing desire to vote on corporate events in a broader range of markets. "" ...",negative,0.0,0.02,0.98,positive,0.94,0.05,0.01,True,English,['Euroclear'],"['Stone Age', 'Investment platforms', 'Stuck', 'increasing desire', 'corporate events', 'broader range', 'spokesperson', 'Euroclear', 'investors', 'markets']",2021-06-07,investmentweek.co.uk,Euroclear
Euroclear,0,Google API,https://www.globenewswire.com/news-release/2021/06/07/2242416/0/en/Pegasus-Europe-Information-regarding-Unit-replacement.html,Pegasus Europe – Information regarding Unit replacement,"... matching instructions to ABN AMRO, BIC: ABNANL2AAGS,T2S NECIABNANL2AAGS000L10, Euroclear Account ESGP: 28001, Security account: 608060119.","... matching instructions to ABN AMRO, BIC: ABNANL2AAGS,T2S NECIABNANL2AAGS000L10, Euroclear Account ESGP: 28001, Security account: 608060119.",neutral,0.0,1.0,0.0,neutral,0.13,0.87,0.0,True,English,"['Pegasus Europe', 'ABN AMRO']","['Pegasus Europe', 'Unit replacement', 'Information', 'matching instructions', 'ABN AMRO', 'T2S NECIABNANL2AAGS000L10', 'Account ESGP', 'Security account', 'BIC']",2021-06-07,globenewswire.com,Euroclear
Euroclear,0,Google API,https://www.streetinsider.com/SEC+Filings/Form+424B5+ALABAMA+POWER+CO/18527428.html,Form 424B5 ALABAMA POWER CO,Cash received in Clearstream or the Euroclear system as a result of sales of the Series 2021A Senior Notes by or through a Clearstream participant or a Euroclear ...,Cash received in Clearstream or the Euroclear system as a result of sales of the Series 2021A Senior Notes by or through a Clearstream participant or a Euroclear ...,neutral,0.0,1.0,0.0,neutral,0.01,0.92,0.07,True,English,"['Clearstream', 'Euroclear', 'Clearstream', 'Euroclear']","['ALABAMA POWER CO', 'Form 424B5', '2021A Senior Notes', 'Euroclear system', 'Clearstream participant', 'Cash', 'result', 'sales', 'Series']",2021-06-08,streetinsider.com,Euroclear
Euroclear,0,Google API,https://www.thediplomat.ro/2021/06/08/ccone-properties-invest-ag-successfully-places-50-million-euro-note/,CCONE Properties Invest AG successfully places 50 million ...,... issuing entity is a fully owned subsidiary registered with the Luxembourg Stock Exchange and the emitted note is registered with Euroclear and Clearstream.,... issuing entity is a fully owned subsidiary registered with the Luxembourg Stock Exchange and the emitted note is registered with Euroclear and Clearstream.,neutral,0.04,0.95,0.01,neutral,0.0,1.0,0.0,True,English,"['CC@ONE Properties Invest AG', 'Luxembourg Stock Exchange', 'Euroclear', 'Clearstream']","['ONE Properties Invest AG', 'CC', 'Luxembourg Stock Exchange', 'issuing entity', 'subsidiary', 'note', 'Euroclear', 'Clearstream']",2021-06-08,thediplomat.ro,Euroclear
