Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source
LCH SA,Twitter API,Twitter,"b'Lch_ehlle JUST WAITTT,WALA PAY END SA AUG.'",b'nan',"b'Lch_ehlle JUST WAITTT,WALA PAY END SA AUG.'",positive,0.76,0.19,0.05,positive,0.76,0.19,0.05,True,English,[],"['PAY END SA AUG', 'Lch_ehlle JUST WAITTT', 'WALA', 'PAY END SA AUG', 'Lch_ehlle JUST WAITTT', 'WALA']",2021-08-27,Unknown
JPMorgan Chase,Google API,https://www.thehindu.com/business/goldman-sachs-j-p-morgan-chase-among-10-merchant-bankers-to-manage-lic-ipo/article36161601.ece,"b'Goldman Sachs, J P Morgan Chase among 10 merchant bankers to manage LIC IPO'","b'""Goldman Sachs Group Inc, JPMorgan Chase & Co, ICICI Securities Ltd, Kotak Mahindra Capital Co, JM Financial Ltd, Citigroup Inc and Nomura Holdings Inc are ...'","b'""Goldman Sachs Group Inc, JPMorgan Chase & Co, ICICI Securities Ltd, Kotak Mahindra Capital Co, JM Financial Ltd, Citigroup Inc and Nomura Holdings Inc are ...'",neutral,0.01,0.98,0.01,neutral,0.0,1.0,0.0,True,English,,,2021-08-29,thehindu.com
JPMorgan Chase,Google API,https://www.marketwatch.com/story/american-express-jpmorgan-chase-share-gains-lead-dow-s-nearly-100-point-climb-01629906309,"b""American Express, JPMorgan Chase share gains lead Dow's nearly 100-point climb""","b'Shares of American Express and JPMorgan Chase are trading higher Wednesday morning, lifting the Dow Jones Industrial Average into positive territory.'","b'Shares of American Express and JPMorgan Chase are trading higher Wednesday morning, lifting the Dow Jones Industrial Average into positive territory.'",positive,0.65,0.34,0.01,neutral,0.44,0.54,0.02,True,English,,,2021-08-25,marketwatch.com
JPMorgan Chase,Google API,https://www.dallasnews.com/business/local-companies/2021/08/25/tpg-brings-in-heavy-hitters-jpmorgan-chase-and-goldman-sachs-as-its-weighs-ipo/,b'TPG brings in heavy hitters JPMorgan Chase and Goldman Sachs as its weighs IPO',"b'Investment firm TPG is working with JPMorgan Chase & Co. and Goldman Sachs Group Inc. on plans for an initial public offering, according to people familiar ...'","b'Investment firm TPG is working with JPMorgan Chase & Co. and Goldman Sachs Group Inc. on plans for an initial public offering, according to people familiar ...'",negative,0.03,0.25,0.72,neutral,0.01,0.97,0.02,True,English,,,2021-08-25,dallasnews.com
JPMorgan Chase,Google API,https://www.cyberscoop.com/biden-private-sector-cybersecurity-call-to-action/,"b'Apple, JPMorgan Chase bosses among industry heads set to ...'","b""It's a star-studded afternoon gathering scheduled to include the likes of Apple CEO Tim Cook and JPMorgan Chase CEO Jamie Dimon from the financial, ...""","b""It's a star-studded afternoon gathering scheduled to include the likes of Apple CEO Tim Cook and JPMorgan Chase CEO Jamie Dimon from the financial, ...""",neutral,0.02,0.83,0.15,neutral,0.35,0.64,0.01,True,English,,,2021-08-25,cyberscoop.com
JPMorgan Chase,Google API,https://www.bizjournals.com/austin/news/2021/08/27/405-colorado-jp-morgan-chase-downtown-austin.html,b'Sources: JPMorgan Chase could lease in new downtown ...',"b'New York-based JPMorgan Chase & Co. is on the verge of signing a 35,000-square-foot lease for the top two floors at 405 Colorado, according to multiple ...'","b'New York-based JPMorgan Chase & Co. is on the verge of signing a 35,000-square-foot lease for the top two floors at 405 Colorado, according to multiple ...'",neutral,0.07,0.88,0.05,neutral,0.0,1.0,0.0,True,English,,,2021-08-27,bizjournals.com
JPMorgan Chase,Google API,https://www.bankingdive.com/news/jpmorgan-chase-glitch-let-customers-see-other-users-data/605383/,"b""JPMorgan Chase glitch let customers see other users' data""",b'Dive Brief: JPMorgan Chase warned customers this month that a \xe2\x80\x9ctechnology issue\xe2\x80\x9d may have caused some customers to see account information of other customers ...',b'Dive Brief: JPMorgan Chase warned customers this month that a \xe2\x80\x9ctechnology issue\xe2\x80\x9d may have caused some customers to see account information of other customers ...',negative,0.01,0.04,0.95,negative,0.0,0.02,0.98,True,English,,,2021-08-23,bankingdive.com
JPMorgan Chase,Google API,https://www.bizjournals.com/nashville/news/2021/08/26/jpmorgan-chase-opens-10th-middle-tennessee-branch.html,b'JPMorgan Chase opens 10th Middle Tennessee branch ...',"b""JPMorgan Chase has officially hit double digits. The nation's largest bank opened its 10th Middle Tennessee branch Thursday, at 298 Indian Lake Blvd. in ...""","b""JPMorgan Chase has officially hit double digits. The nation's largest bank opened its 10th Middle Tennessee branch Thursday, at 298 Indian Lake Blvd. in ...""",neutral,0.01,0.99,0.0,neutral,0.03,0.95,0.02,True,English,,,2021-08-26,bizjournals.com
JPMorgan Chase,PyNews API,http://www.zacks.com/stock/news/1787706/earnings-growth-price-strength-make-jpmorgan-chase-co-jpm-a-stock-to-watch?cid=CS-ENTREPRENEUR-FT-tale_of_the_tape|zacks_education_focus_list-1787706,b'Earnings Growth & Price Strength Make JPMorgan Chase & Co. (JPM) a Stock to Watch',"b""The Zacks Focus List offers investors a way to easily find top-rated stocks and build a winning investment portfolio. Here's why you should take advan...""","b'August\r27, 2021\r5 min read\rThis story originally appeared on ZacksHere at Zacks, we offer our members many different opportunities to take full advantage of the stock market, as well as how to inv\xe2\x80\xa6 [+5340 chars]'",neutral,0.17,0.83,0.0,neutral,0.46,0.52,0.02,True,English,,,2021-08-26,zacks.com
JPMorgan Chase,PyNews API,https://www.marketwatch.com/story/tpg-hires-bankers-as-it-moves-toward-ipo-11629842442,b'The Wall Street Journal: TPG hires bankers as it moves toward IPO',"b'TPG has hired JPMorgan Chase & Co. and Goldman Sachs Group Inc. to underwrite its planned initial public offering, according to people familiar with the matter, moving the private-equity powerhouse closer to a milestone it has flirted with for years.'","b'TPG has hired JPMorgan Chase & Co. and Goldman Sachs Group Inc. to underwrite its planned initial public offering, according to people familiar with the matter, moving the private-equity powerhouse closer to a milestone it has flirted with for years.'",neutral,0.01,0.98,0.01,neutral,0.12,0.73,0.15,True,English,,,2021-08-26,marketwatch.com
JPMorgan Chase,PyNews API,https://www.marketwatch.com/story/fed-to-keep-pumping-roughly-1-trillion-of-liquidity-into-markets-during-tapering-jpmorgan-says-11629731508,"b'The Tell: Fed to keep pumping roughly $1 trillion of liquidity into markets during tapering, JPMorgan says'","b'Assuming the Fed finishes tapering next August, \xe2\x80\x98this still means that we could see anywhere from $850bn to $1tn of additional liquidity being injected in the financial system,\xe2\x80\x99 JPM strategists write'","b'Federal Reserve policy makers will still be injecting roughly $1 trillion into markets during the time it takes to start and end the tapering of $120 billion in monthly bond purchases, according to s\xe2\x80\xa6 [+1645 chars]'",neutral,0.02,0.94,0.04,neutral,0.0,0.98,0.02,True,English,,,2021-08-26,marketwatch.com
