Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,Date,Source,NER,Topics
BNP Paribas,PyNews API,https://www.desertsun.com/story/opinion/readers/2022/03/18/heckling-naomi-osaka-tarnishes-bnp-paribas-opens-image-letter/7076315001/,"b""Heckling of Naomi Osaka will tarnish BNP Paribas Open's image for years to come""","b'People know who the heckler is and are protecting her, a reader writes.'","b""Naomi Osaka speaks to the crowd after being heckled during a March 12 match.\rWith social media, security videos and ticket identification, tournament officials' claim they could not identify the wom\xe2\x80\xa6 [+1218 chars]""",negative,0.01,0.08,0.91,negative,0.01,0.11,0.89,True,English,2022-03-16,desertsun.com,,
BNP Paribas,PyNews API,https://www.espn.com/tennis/story/_/id/33490935/naomi-osaka-addresses-crowd-fan-heckles-loss-indian-wells,b'Tearful Osaka addresses crowd after fan heckles',b'Naomi Osaka was heckled during her second-round loss at Indian Wells on Saturday and asked to address the crowd afterward in order to explain why it made her so upset.',b'Four-time major champion and former world No. 1 Naomi Osaka was brought to tears during her second-round loss to Veronika Kudermetova at the BNP Paribas Open on Saturday after a fan heckled her from \xe2\x80\xa6 [+2460 chars]',negative,0.01,0.08,0.91,negative,0.01,0.07,0.93,True,English,2022-03-16,espn.com,,
BNP Paribas,PyNews API,https://amp.theguardian.com/sport/2022/mar/18/rafael-nadal-keeps-cool-to-down-combustible-kyrgios-in-indian-wells-quarter-finals,b'Rafael Nadal keeps cool to down combustible Kyrgios in Indian Wells quarter-finals',"b'<ul><li>Nadal wins 7-6 (7-0), 5-7, 6-4 to reach BNP Paribas Open semis</li><li>Australian clashes with crowd and umpire during defeat</li></ul>Rafael Nadal quelled the challenge of a typically combustible Nick Kyrgios to reach the BNP Paribas Open semi-finals\xe2\x80\xa6'","b'<ul><li>Nadal wins 7-6 (7-0), 5-7, 6-4 to reach BNP Paribas Open semis</li><li>Australian clashes with crowd and umpire during defeat</li></ul>Rafael Nadal quelled the challenge of a typically combustible Nick Kyrgios to reach the BNP Paribas Open semi-finals\xe2\x80\xa6'",neutral,0.16,0.76,0.08,neutral,0.05,0.58,0.37,True,English,2022-03-16,amp.theguardian.com,,
BNP Paribas,PyNews API,https://bleacherreport.com/articles/10029682-indian-wells-tennis-2022-naomi-osaka-andy-murray-losses-headline-sundays-results,"b""Indian Wells Tennis 2022: Naomi Osaka, Andy Murray Losses Headline Sunday's Results""","b'Former world No. 1 players Naomi Osaka and Andy Murray both suffered upset losses in the second round of the\xc2\xa0BNP Paribas Open\xc2\xa0in Indian Wells,...'","b'AP Photo/Mark J. Terrill\rFormer world No. 1 players Naomi Osaka and Andy Murray both suffered upset losses in the second round of the\xc2\xa0BNP Paribas Open\xc2\xa0in Indian Wells, California.\rOsaka\xc2\xa0fell to Ver\xe2\x80\xa6 [+4100 chars]'",negative,0.03,0.44,0.53,negative,0.01,0.11,0.89,True,English,2022-03-16,bleacherreport.com,,
BNP Paribas,PyNews API,https://bleacherreport.com/articles/10029591-indian-wells-tennis-2022-rafael-nadal-advances-aryna-sabalenka-upset-in-2nd-round,"b'Indian Wells Tennis 2022: Rafael Nadal Advances, Aryna Sabalenka Upset in 2nd Round'","b'Saturday marked the second round of action from the BNP Paribas Open at Indian Wells, California. There were already plenty of surprises in the first...'","b'AP Photo/Marcio Jose Sanchez\rSaturday marked the second round of action from the BNP Paribas Open at Indian Wells, California.\rThere were already plenty of surprises in the first round.\xc2\xa0No. 7 Karol\xe2\x80\xa6 [+6864 chars]'",negative,0.02,0.35,0.62,negative,0.23,0.3,0.47,True,English,2022-03-16,bleacherreport.com,,
BNP Paribas,PyNews API,https://bleacherreport.com/articles/10030325-indian-wells-tennis-mens-semifinals-2022-results-updated-finals-schedule,"b""Indian Wells Tennis Men's Semifinals 2022 Results, Updated Finals Schedule""","b""The finals of the BNP Paribas Open are set after Saturday's action in Indian Wells. In the men's semifinals, Rafael Nadal outlasted Carlos Alcaraz 6-4, 4-6,...""","b""AP Photo/Mark J. Terrill\rThe finals of the BNP Paribas Open are set after Saturday's action in Indian Wells.\rIn the men's semifinals, Rafael Nadal outlasted Carlos Alcaraz 6-4, 4-6, 6-3 in a thrill\xe2\x80\xa6 [+5796 chars]""",neutral,0.03,0.95,0.02,neutral,0.04,0.9,0.06,True,English,2022-03-16,bleacherreport.com,,
BNP Paribas,PyNews API,https://bleacherreport.com/articles/10029751-indian-wells-tennis-2022-rafael-nadal-wins-daniil-medvedev-upset-in-mondays-action,"b""Indian Wells Tennis 2022: Rafael Nadal Wins, Daniil Medvedev Upset in Monday's Action""","b'Daniil Medvedev suffered a significant upset in the round of 32 at the BNP Paribas Open in Indian Wells, California, on Monday, while Rafael Nadal blew by Dan...'","b'AP Photo/Marcio Jose Sanchez\rDaniil Medvedev suffered a significant upset in the round of 32 at the BNP Paribas Open in Indian Wells, California, on Monday, while Rafael Nadal blew by Dan Evans in s\xe2\x80\xa6 [+4479 chars]'",negative,0.02,0.22,0.77,negative,0.01,0.13,0.86,True,English,2022-03-16,bleacherreport.com,,
BNP Paribas,PyNews API,https://bleacherreport.com/articles/10029904-indian-wells-tennis-2022-keys-halep-advance-to-quarterfinals,"b'Indian Wells Tennis 2022: Keys, Halep Advance to Quarterfinals'","b""The chalk largely held at the BNP Paribas Open in Indian Wells, California on Tuesday as the favorites nearly swept the underdogs in the women's Round of 16...""","b""AP Photo/Mark J. Terrill\rThe chalk largely held at the BNP Paribas Open in Indian Wells, California on Tuesday as the favorites nearly swept the underdogs in the women's Round of 16 and men's Round \xe2\x80\xa6 [+7062 chars]""",neutral,0.06,0.89,0.05,neutral,0.01,0.97,0.02,True,English,2022-03-16,bleacherreport.com,,
BNP Paribas,PyNews API,https://bleacherreport.com/articles/10030020-indian-wells-tennis-2022-rafael-nadal-iga-swiatek-advance,"b'Indian Wells Tennis 2022: Rafael Nadal, Iga Swiatek Advance'","b""Rafael Nadal's quest for a fourth BNP Paribas Open will continue for at least one more round. Nadal earned a straight-set victory over\xc2\xa0Reilly Opelka as...""","b""AP Photo/Mark J. Terrill\rRafael Nadal's quest for a fourth BNP Paribas Open will continue for at least one more round.\rNadal earned a straight-set victory over\xc2\xa0Reilly Opelka as part of Wednesday's \xe2\x80\xa6 [+2436 chars]""",neutral,0.05,0.89,0.06,neutral,0.03,0.88,0.09,True,English,2022-03-16,bleacherreport.com,,
BNP Paribas,PyNews API,https://bleacherreport.com/articles/10030103-indian-wells-tennis-2022-rafael-nadal-paula-badosa-headline-thursdays-winners,"b""Indian Wells Tennis 2022: Rafael Nadal, Paula Badosa Headline Thursday's Winners""","b'Paula Badosa and Rafael Nadal were among the big winners who advanced to the semifinals of the BNP Paribas Open at Indian Wells, California, with victories in...'","b'AP Photo/Marcio Jose Sanchez\rPaula Badosa and Rafael Nadal were among the big winners who advanced to the semifinals of the BNP Paribas Open at Indian Wells, California, with victories in quarterfin\xe2\x80\xa6 [+6859 chars]'",neutral,0.05,0.88,0.07,neutral,0.03,0.84,0.13,True,English,2022-03-16,bleacherreport.com,,
